Curs,Fitxer,TipusPregunta,TipusIncidencia,Comentari,IdiomaSpacy,IdiomaPyCld2,Idioma
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,"Escasa participación de la profesora que ni siquiera ha preparardo unidades didácticas. Se ha limitado a colgar una ley ( en una versión antigua, por cierto) y dos comunicaciones ( una ni siquiera tenía mucho que ver con la asignatura) y a decirnos qué actividades deberíamos realizar sin explicar la materia, sin conceptualizaciones, sin indicaciones concretas. _x000D_
No se han ido facilitando las correcciones de las materias, cosa que sería interesante para ir sabiendo en la siguiente actividad en qué podemos mejorar. _x000D_
La presencia de la profesora ha sido casi nula. No ha dado instrucciones para ordenar el foro de la última actividad, no ha enviado ni un sólo mensaje al foro...ha estado muy ausente durante toda la materia. ",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,ejercicios muy prácticos para poner en marcha medidas públicas.,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,"Las Unidades grabadas son mejorables. Sería mucho más fácil de seguir si se viese la cara de la docente, además debería mejorar la dicción. A veces lee muy rápido y es difícil entenderla. ",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,Materiales muy útiles,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,Los indicados en el punto anterior. Quizás también se deberían valorar las actividades propuestas pues son muy exigentes aunque su contenido adecuado a las unidades didácticas.,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,VA DEMASIADO RÁPIDA EN LOS VIDEOTUTORIALES,de,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,ejercicios que me han completado mi experiencia profesional.,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,Es una asignatura que me ha sorprendido porque invita a la reflexión de cómo los medios de comunicación pueden contribuir en la formación de la identidad propia individual y por ende del colectivo imaginario de la sociedad.,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,Me ha gustado mucho los espacios compartidos con las profesoras en el chat y el resto de compañeras. Animo para que en otras asignaturas lo puedan realizar. Es de gran utilidad tanto para orientarte al trabajo como para compartir experiencias y opiniones además de ser una herramienta que rompe las barreras de la formación en línea y nos acerca.,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,Me ha gustado mucho el material proporcionado por la asignatura. De utilidad profesional.,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,Comentari d'assignatura,"Los recursos que nos ha proporcionado el profesor, en mi opinión han sido escasos y poco claros.",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,Comentari de professor,EL PROFESOR  RESPONDE LAS DUDAS RÁPIDO Y EXHAUSTIVAMENTE.,de,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,"El material entregado es demasiado teórico y complejo, muy enfocado al área de Historia pero poco práctico. Es un material confuso que da pocas pistas claras sobre como realizar una investigación. De los 12 temas, el propio docente nos recomendó centrarnos en el 5. _x000D_
Creo que esta materia no está enfocada a un máster como el de políticas públicas, debería ser coordinada por una persona más centrada en las investigaciones de género.",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,"AL PINCIPIO DESCORDINACIÓN DE LA ASIGNATURA , PERO AL FINAL SE ACLARÓ.",en,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,A,,Muy buen material para poder utilizarlo en la elaboración de proyectos de investigación,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,"Los comentarios del profesor en la evaluación de los ejercicios son largas e interesantes, intentando siempre aportar información y facilitar la labor al alumnado pero creo que pocas veces tienen en cuenta que somos investigadores noveles. A veces son confusos y no aclaran._x000D_
El profesor es responsable y se interesa por facilitar al alumnado el aprendizaje pero creo que podría simplificar bastante.",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s.xls,P,,Los ejercicios prácticos me han servido para encarar mi TFM,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s_M110.xls,A,,"Por el momento, ha sido la asignatura mejor organizada y aprovechada: los tres profesores han impartido clases teóricas por videoconferencia, han facilitado la participación en seminarios y actividades de práctica y en todo momento han estado disponibles para atender las dudas de los estudiantes y facilitar la ampliación de bibliografía y la autogestión de los recursos. Los contenidos se han organizado de manera clara y, en general, tanto la labor docente como el apoyo al estudio autónomo de los alumnos han sido más que satisfactorios.  ",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s_M110.xls,A,,"Gracias por no usar el chat como clase/tutoría._x000D_
Gracias por  dar clase con las videoconferencias.",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s_M110.xls,A,,"Se echa de menos alguna clase por videoconferencia en la que se haga una presentación teórica más amplia y algún ejercicio de práctica guiada, no contar como única práctica el ejercicio evaluativo final. En una materia como esta, la lectura de la bibliografía, aunque necesaria e ilustrativa, no es suficiente para adquirir las destrezas que se piden.  ",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s_M110.xls,A,,"Si hubiera habido alguna videoconferencia para poner en común algunas cosas, mejor. El chat es bastante ineficaz.",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s_M110.xls,P,,"Podría aprovecharse más esta parte de la asignatura si se impartiera alguna clase teórica por videoconferencia, para ampliar algunos de los puntos esbozados en los apuntes y también orientar el contenido de los comentarios. ",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s_M110.xls,P,,Creo que la cantidad de trabajos para la evaluación es excesivo. ,es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s_M110.xls,A,,"La parte de Cultura podría haberse impartido de manera más organizada y útil para los estudiantes. La metodología evaluativa consistía en entregar uno o dos comentarios de texto semanales pero la bibliografía propuesta, que se entiende era orientativa (siendo responsabilidad del estudiante ampliarla y, en general, gestionar sus propios recursos de investigación), no ofrecía una visión clara de hacia qué punto teníamos que orientar la reflexión o el comentario. Por otra parte, a día de hoy no hemos recibido revisión o corrección alguna acerca de estos ejercicios, aun cuando la docencia de dicha parte de la asignatura terminó a principios de noviembre. En cuanto a las comunicaciones con la docente, la herramienta de chat no es la más adecuada para el intercambio productivo de ideas. _x000D_
Las partes de Universidad y Derecho han resultado útiles e ilustrativas, aunque en el caso de Universidad, de nuevo la herramienta de chat no parece prestarse demasiado a la transmisión de conocimiento. ",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s_M110.xls,A,,"Como en otras ocasiones, unos cuantos documentos a leer y un comentario de texto de cada uno, sin más. Poca o ninguna aportación de los profesores a la asignatura._x000D_
En el apartado de derecho, un ejercicio de memoria de dos horas a una hora concreta propuesta. Pensaba que este tipo de aprendizaje y valoración del mismo estaba ya descartado por ineficaz._x000D_
",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s_M110.xls,A,,"La herramienta 'chat' para debates, clases o tutorías es inapropiada, lenta y tediosa.",es,es,es
2017-18,assignatura_professor_comentaris_LS_17-18_1s_M110.xls,P,,Ha faltado algún tipo de contacto académico.,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"comprensible, entendor, bon professor.",es,en,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,El examen no debería valer el 50%. Es demasiado para ser una asignatura tan práctica.,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,No creo que sea adecuado evaluar la asignatura con un examen después de los contenidos aprendidos en la asignatura ,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,No sé ponen de acuerdo en diferentes conceptos como dotación. Uno lol da en l/s y otro en l/s*ha.,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Hemos hecho tres parciales desde octubre de 2018. Estamos a dos semanas de acabar el cuatrimestre y de la recuperación, a mediados de enero de 2019, y aún no tenemos las notas. Vergonzoso",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,No se prepara las clases. No aclara nada y utiliza metodos anticuados.,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,No hace ejercicios ni se prepara las clases,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,Gemma es una gran profesora que empatiza con sus alumnos y trata de sacar lo mejor de ellos. Sus clases son muy entretenidas y en cada una de ellas aprendes cosas nuevas e interesantes.,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,Comentari excel·lent,Muy buena profesora!,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,Muy buena profesora!,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,Nos aporta casos prácticas y recursos para cuando trabajemos ,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,Es la más útil porque es más aplicable a la realidad.,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,"Ha influido muy positivamente en mi visión de las cosas en un entorno de trabajo, especialmente en aspectos tecnológicos y financieros. He actualizado conocimientos y he aprendido muchas cosas nuevas que estoy intentando aplicar en mi puesto de trabajo. Lo cierto es que me ha sorprendido mucho.",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Sus clases están basadas en su experiencia como tesorero. Eso se nota muy positivamente, hace que la asignatura sea más ""real"".",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Sus clases facilitan el entendimiento financiero de una empresa. Veo las cosas de otro modo y relaciono conceptos de mi día a día que antes consideraba irrelevantes. Destaco las previsiones sobre balances y cuenta de pyg, y las sensibilidades, explicado de manera espectacular.",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,Te obliga a pensar y pensar y no quedarte en la superficie. Espectacular en el tema de operaciones.,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Muy buenas explicaciones, aplicables a cualquier proyecto. Me gustó cómo nos orientó a valorar diversos proyectos dentro de una misma empresa y período de tiempo.",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,"Me parece que la materia como tal está muy bien elaborada en cuestión a la oferta académica se refiere, lo que se debería mejorar en cuestión a la ponderación que se da a cada asignatura dentro de esta materia es que se le debe dar mas peso porcentual a la asignatura que más tareas haya enviado, no centrar el mayor puntaje en un solo deber.",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Excelente profesor, siempre predispuesto a colaborar a despejar las dudas por parte de los estudiantes en relación a las tareas y dudas que surgen en clases. ",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Debería ser un poco más organizado al momento de presentar los temas de estudio en el aula de clase, creo que sería el aspecto más importante a mejorar. De ahí si presenta temas acordes a la asignatura y siempre predispuesto a ayudar ",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,las diapositivas deberian ser en castellano y mas faciles de entender ,es,en,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,Aspectos a mejorar :El contenido y la metodología de la asignatura no son adecuados,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,Actitud durante las clases,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Su despacho a la hora de hacer tutorías, se encuentra en el otro campus, lo cual dificulta las tutorias",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,Muy buen profesor!,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,No encuentro útil esta asignatura para mi formación,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,"Parts poc interrelacionades, sense fil conductor.
",es,en,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Demasiada teoria que no sirve de nada, se deberia focalizar mas en la parte practica.",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,"No pienso que esta asignatura me haya ayudado, la coordinación con otra asignaturas es incorrecta, solo supone una carga de trabajo mayor para el alumno. El tiempo de teoría es completamente inútil, la asignatura consiste en googlear por tu cuenta como trabajar, en clase no se enseña nada.",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Da la impresión de que hace teoría, porque tiene 0 idea de programar en c...",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"la clase me parecio muy monotona, y estatica ",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,"Desde mi punto de vista, es una asignatura muy bonita, no obstante es una pena que se haya dispuesto de tan poco tiempo para cursarla. 

Por otro lado, la excursión de salinidad-sodicidad ha estado bien, aunuqe he de reconocer que las primeras horas de excursión no fuerón como esperaba. La segunda parte fue mucho más dinámica, miramos suelos, el entorno y creo que es una muy buena forma de aprender, ya que Rafael tiene muy buena capacidad explicativa. ",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"La excursión y las clases me han parecido muy buenas, la única pega la citada con anterioridad; las primeras horas de excursión que sólo nos expxlicó los mapas (aunque me figuro que fieron por las condiciones meteorológicas). 
",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,La excursión estuvo bien aunque con el ruido fue complicado escuchar en algunas ocasiones. ,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,La asignatura debería abarcar un poco más procesos de rehabilitación de suelos no solo de canteras o taludes de vias o autopistas. Hay muchísimos ejemplos mas que pueden abarcar lo que es una rehabilitación de suelos ,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"la distribución de su materia debería ser mejor organizada, en cuanto a lo demás no hay nada que criticar. ",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,Rafael es un buen profesor aunque a veces se desvía del tema central. Debería centrarse más en el tema de clase y distribuir mejor el tiempo para abarcar en totalidad los temas propuestos en la asignatura. La salida de campo debería realizarse en un mes donde haya menos neblina y menos frío para asi poder apreciar mejor los procesos de sodicidad y salinidad y no arriesgarnos a ir a la salida de campo y sea un dia totalmente nublado y poco visible ,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Excelente docente, lo único que debería ampliar es los temas acerca de las terrazas, como las elaboran y todo lo demás. ",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Buen profesor solo que debería mejorar su metodología de dar clases, no hacerla tan monótona que a tal punto llega a ser cansado ver lo mismo y lo mismo. ",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,faltó enfocar más la asigantura a casos prácticos y hacerla un poco más específica,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"En la salida de campo de salinidad sodicidad debería abarcarse otros temas de la asignatura, posiblemente abracar todos los temas se dificultó por el retrasos en la salida",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Las clases fueron un poco monótonas falta ser un poco más dinámico, con la salida de campo se explicó muy bien todos los conceptos y se ejemplificó muy bien lo visto en clase",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,Una mejor comunicación entre profesores para que no se solapen los contenidos,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,Se necesitan más horas con ella.,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,Más horas en un futuro con Gloria,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,"La asignatura en general ha contribuido a mi desarrollo y alcance profesional, debería enfocarse la asignatura mas a los distintos procesos interactivos que ocurren como tal más no llenar de datos sobre investigaciones realizadas. Las investigaciones son necesarias conocerlas pero para poder entenderlas como tal se debería profundizar en conocimientos previos.",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Debería mejorar mucho más la forma en la que imparte las clases, hacerse entender un poco más sobre lo que explica y sobre lo que quiere en los deberes en realidad.",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,Debería concentrarse más en los temas de clase que da no solamente hablar de sus proyectos o experiencias profesionales. Debería enviar menos trabajos a casa ya que solo la asignatura de el no se la ve en ese momento. ,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"me parece que esta materia es muy extensa para tan corto tiempo, deberia repartirse talvez en temas para que pueda desarrollarse mejor ",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,"La asignatura se enfocó en biofisica y climatología, estos temas no se integraron y para mi gusto faltó definir mejor la interacción entre suelo, agua, planta y atmósfera.",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Los trabajos de excel realizados en clase se veían muy rápido, por lo cual si no conoces bien el manejo de la hoja de excel previamente se puede dificultar seguir lo realizado en clase.",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Tiende a redundar en sus explicaciones por lo que a veces se pierde del tema, para mi gusto faltó abarcar mejor el concepto de interacción de los diferetes factores, ya que los temas de clase no estaban tan relaciones entre ellas al momento de la explicación",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,Nos hemos dedicado a resolver ejercicios sin ningún tipo de explicación,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Sin haber hecho clases previamente, se realizan ejercicios fuera de clase que seran los que contribuyan en un 80% en la nota final. Si tienes dudas, el profesor comenta que por las tardes no está y que pasemos por las mañanas, pero resulta que hay clase dle propio master por las mañanas. Si se le pregunta, su respuesta es que miremos los ejercicios tipo que hay colgados en la plataforma online...",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,"Creo que se debería evaluar con otras herramientas que no fueran un examen, ya que se fomenta la innovación.",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Positivos: fomenta el diálogo en clase, todos sus datos son fomentados, está accesible para resolver dudas.

A mejorar: método de evaluación ",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,Opino que algunas dinámicas son difíciles de aplicar en algunos centros,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,Comentari de professor,"Muy buenas las clases de Xavier, muy dinámicas, obliga a participar a todos y discutir muchos temas. Estas clases si que me fueron útiles, en cambio el resto de clases no me sirvieron tanto.",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,"Xavier es muy buen profesor, nos hizo aprender mucho.",es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,No me parece que juan antonio exprese sus conocimientos de manera que nosotros los entendamos. Las clases no son dinámicas.,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,Me gusta mucho su metodología de enseñanza. profesional en su campo,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,P,,Me encanta su metodología de enseñanza me gusta muchísimo.,es,es,es
2018-19,assignatura_professor_comentaris_LS_18-19_P_1S.xls,A,,La coordinación de la asignatura no ha sido correcta.,es,es,es
